label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,label_name
0,6,50,14,4,86,558,130,63,101,4,3,335,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,55,23,14,4,391,130,63,101,4,3,18,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,4,743,149,14,86,448,130,63,744,59,4,335,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,44,8,23,4,14,101,63,392,253,336,59,4,335,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,912,14,4,913,262,130,63,101,4,59,335,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,4,559,218,14,558,130,63,101,4,6,217,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,218,14,176,4,101,63,392,253,336,59,4,70,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,44,8,23,4,14,101,63,262,253,391,59,4,18,494,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,4,44,449,303,101,130,63,357,4,18,915,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,86,8,4,14,5,130,63,101,4,3,335,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,4,14,263,130,63,101,113,86,59,4,335,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,4,55,916,14,130,63,101,336,4,3,6,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,4,55,337,14,101,130,63,336,418,4,638,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,218,14,176,4,101,63,392,253,336,59,4,70,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,4,393,745,218,14,392,130,63,101,4,217,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,4,55,149,14,917,5,101,130,63,418,4,638,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,44,8,5,918,639,63,919,253,3,167,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,316,219,177,6,218,14,4,560,448,63,262,253,4,3,6,265,0,0,0,0,0,0,0,0,0,0,0,Acne
0,152,6,218,14,4,86,204,101,63,392,253,4,3,6,265,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,55,6,218,14,4,560,448,63,262,253,4,3,6,265,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,168,6,218,14,4,86,204,101,63,392,253,4,3,6,265,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,316,219,177,6,218,14,4,560,448,63,262,253,4,3,6,265,0,0,0,0,0,0,0,0,0,0,0,Acne
0,167,6,218,14,4,86,204,101,63,392,253,4,3,6,265,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,55,6,218,14,4,560,448,63,262,253,4,3,6,265,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,168,6,218,14,4,86,204,101,63,392,253,4,3,6,265,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,44,55,149,14,4,746,101,130,63,4,3,265,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,44,337,14,4,263,101,130,63,4,3,111,91,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,219,316,495,70,50,14,26,263,130,63,101,91,4,3,111,91,5,0,0,0,0,0,0,0,0,0,0,Acne
0,561,219,163,337,14,4,263,101,63,747,253,4,3,265,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,55,4,14,263,130,63,101,4,3,18,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,4,14,263,130,63,101,113,86,59,4,335,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,316,219,177,149,14,26,101,130,63,317,59,4,920,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,561,219,748,23,14,26,496,130,63,101,317,4,3,335,5,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,44,55,149,14,4,746,101,130,63,4,3,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,561,219,163,337,14,4,263,101,63,747,253,4,3,265,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,219,316,495,70,50,14,4,263,130,63,448,91,4,3,111,91,5,0,0,0,0,0,0,0,0,0,0,Acne
0,44,640,266,60,14,4,130,63,101,4,3,335,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,219,921,497,14,26,749,63,262,750,101,336,4,265,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,316,450,177,497,14,26,749,63,262,750,101,336,4,265,5,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,316,219,177,497,14,26,204,130,63,101,4,265,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,219,562,338,14,26,5,130,63,101,81,4,641,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,495,358,14,26,219,101,130,63,922,4,641,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,563,152,923,14,4,5,130,63,101,81,4,641,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,495,498,14,4,563,81,204,101,130,63,4,924,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,4,337,14,564,745,101,130,63,744,61,4,18,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,4,925,55,926,14,5,130,63,101,418,4,18,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,561,219,562,23,14,927,4,496,130,63,101,317,4,3,928,5,0,0,0,0,0,0,0,0,0,0,0,Acne
0,316,219,562,149,14,4,101,130,63,317,59,4,929,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,44,167,6,186,4,14,101,130,63,59,4,335,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
0,44,168,21,14,4,204,130,63,101,4,3,18,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
1,19,2,6,32,15,70,243,8,5,198,67,43,54,67,3,6,42,0,0,0,0,0,0,0,0,0,0,Arthritis
1,2,6,32,19,15,6,57,43,54,5,198,111,91,3,6,33,67,0,0,0,0,0,0,0,0,0,0,Arthritis
1,19,18,32,15,6,57,43,54,8,5,198,111,91,67,3,254,42,0,0,0,0,0,0,0,0,0,0,Arthritis
1,2,6,32,19,15,6,57,43,54,87,111,91,67,6,33,0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
1,19,6,32,15,70,57,43,54,47,35,111,67,254,42,0,0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
1,8,23,304,85,15,6,57,35,111,102,43,54,6,42,67,0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
1,19,2,6,32,15,70,243,43,54,47,35,111,16,5,67,0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
1,15,751,141,40,19,305,32,48,111,102,43,419,67,18,33,0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
1,15,6,57,149,19,85,255,54,43,178,111,67,18,189,0,0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
1,2,6,32,19,86,15,6,57,43,54,87,111,91,153,2,57,67,6,33,0,0,0,0,0,0,0,0,Arthritis
1,44,19,276,18,32,15,6,243,131,43,177,35,111,153,38,57,3,6,42,67,0,0,0,0,0,0,0,Arthritis
1,8,304,85,198,15,44,43,131,47,35,67,153,38,57,318,3,254,42,0,0,0,0,0,0,0,0,0,Arthritis
1,44,89,15,19,85,198,43,419,35,67,153,2,57,318,3,254,42,0,0,0,0,0,0,0,0,0,0,Arthritis
1,86,15,243,19,930,54,43,47,35,111,153,10,57,3,931,33,67,0,0,0,0,0,0,0,0,0,0,Arthritis
1,2,6,32,19,15,6,57,43,54,87,111,91,153,2,57,67,6,33,0,0,0,0,0,0,0,0,0,Arthritis
1,19,2,6,32,15,70,243,131,43,177,35,111,153,38,57,3,6,42,67,0,0,0,0,0,0,0,0,Arthritis
1,19,18,32,15,6,57,43,54,47,35,67,153,38,57,318,3,254,42,0,0,0,0,0,0,0,0,0,Arthritis
1,19,6,32,15,70,57,43,54,47,35,67,153,2,57,318,3,6,42,0,0,0,0,0,0,0,0,0,Arthritis
1,19,18,32,15,6,57,43,54,47,35,111,153,38,57,67,18,42,64,0,0,0,0,0,0,0,0,0,Arthritis
1,15,6,243,19,277,32,54,43,47,87,111,153,10,57,59,67,18,189,0,0,0,0,0,0,0,0,0,Arthritis
1,2,6,32,19,15,6,57,43,54,87,111,91,153,2,57,67,6,33,0,0,0,0,0,0,0,0,0,Arthritis
1,19,2,6,32,15,70,243,131,43,177,35,111,153,38,57,3,6,42,67,0,0,0,0,0,0,0,0,Arthritis
1,15,70,243,19,2,70,32,35,111,91,153,38,57,255,131,43,67,3,70,42,0,0,0,0,0,0,0,Arthritis
1,15,70,57,19,70,32,190,54,43,177,35,111,91,153,2,57,59,67,70,244,0,0,0,0,0,0,0,Arthritis
1,8,198,85,15,19,44,102,43,359,87,67,153,10,57,59,67,70,42,0,0,0,0,0,0,0,0,0,Arthritis
1,15,70,243,19,2,70,32,43,131,67,91,5,198,59,67,70,244,0,0,0,0,0,0,0,0,0,0,Arthritis
1,8,198,85,15,19,44,102,43,359,87,67,153,10,57,59,67,70,42,0,0,0,0,0,0,0,0,0,Arthritis
1,2,6,32,19,15,6,57,43,54,87,111,91,153,2,57,67,6,33,0,0,0,0,0,0,0,0,0,Arthritis
1,19,18,32,15,6,57,43,54,47,35,67,153,2,57,318,3,6,42,0,0,0,0,0,0,0,0,0,Arthritis
1,8,23,304,85,15,6,57,131,43,177,35,111,153,38,57,3,6,42,67,0,0,0,0,0,0,0,0,Arthritis
1,2,6,32,19,86,15,6,57,43,54,87,111,91,3,33,67,0,0,0,0,0,0,0,0,0,0,0,Arthritis
1,2,565,752,19,44,15,565,642,131,43,47,35,111,91,67,3,35,0,0,0,0,0,0,0,0,0,0,Arthritis
1,44,19,276,18,32,15,6,243,131,43,47,35,111,318,3,33,0,0,0,0,0,0,0,0,0,0,0,Arthritis
1,8,304,85,198,15,44,43,419,47,35,111,318,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
1,2,565,752,19,44,15,565,642,35,111,91,43,54,318,3,70,33,0,0,0,0,0,0,0,0,0,0,Arthritis
1,19,2,753,44,15,932,642,43,38,131,47,35,111,67,18,42,64,0,0,0,0,0,0,0,0,0,0,Arthritis
1,19,2,277,32,86,15,6,159,43,54,47,178,111,3,254,35,67,0,0,0,0,0,0,0,0,0,0,Arthritis
1,15,70,243,19,276,18,32,44,35,111,91,153,38,57,255,131,43,67,3,70,42,0,0,0,0,0,0,Arthritis
1,8,198,85,15,19,44,102,43,643,499,420,933,934,644,142,645,10,57,59,67,421,42,0,0,0,0,0,Arthritis
1,8,304,85,198,15,44,43,131,500,754,420,142,755,154,57,67,59,935,42,0,0,0,0,0,0,0,0,Arthritis
1,19,18,32,15,57,43,54,500,754,420,646,220,2,57,67,936,42,0,0,0,0,0,0,0,0,0,0,Arthritis
1,19,114,937,18,32,15,421,57,43,54,47,87,420,938,646,755,645,2,57,318,647,756,421,42,0,0,0,Arthritis
1,8,198,85,15,19,44,102,43,643,939,420,142,940,57,61,67,941,42,0,0,0,0,0,0,0,0,0,Arthritis
1,15,243,19,276,18,32,44,394,420,942,91,154,57,943,131,43,67,59,42,0,0,0,0,0,0,0,0,Arthritis
1,44,360,67,198,57,15,131,43,304,85,318,3,6,42,0,0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
1,86,8,19,85,57,15,54,43,198,944,111,91,3,33,646,0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
1,44,19,15,38,243,32,35,142,102,43,945,153,10,243,648,67,3,18,189,0,0,0,0,0,0,0,0,Arthritis
1,8,198,85,15,19,44,102,43,643,499,420,649,644,142,645,10,57,59,67,42,0,0,0,0,0,0,0,Arthritis
1,44,19,15,38,243,32,102,43,757,35,649,946,142,153,38,57,318,3,18,189,0,0,0,0,0,0,0,Arthritis
1,86,198,85,15,19,102,43,757,35,649,644,947,153,38,57,418,67,18,33,0,0,0,0,0,0,0,0,Arthritis
2,2,70,179,32,3,11,5,68,51,9,12,205,5,115,11,0,0,0,0,0,0,0,0,0,0,0,0,Bronchial Asthma
2,10,11,27,180,65,11,119,191,9,3,266,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bronchial Asthma
2,120,11,141,18,94,9,422,48,51,11,3,11,5,191,0,0,0,0,0,0,0,0,0,0,0,0,0,Bronchial Asthma
2,90,230,74,11,286,12,9,245,5,119,192,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bronchial Asthma
2,2,6,94,32,50,11,9,6,12,286,38,566,11,5,451,193,64,0,0,0,0,0,0,0,0,0,0,Bronchial Asthma
2,5,758,11,759,27,180,51,68,11,5,119,192,451,12,9,0,0,0,0,0,0,0,0,0,0,0,0,Bronchial Asthma
2,395,12,9,102,221,45,451,3,38,119,74,11,85,3,163,0,0,0,0,0,0,0,0,0,0,0,0,Bronchial Asthma
